fecha;Producto;Categoria;nit;nombre;apellido paterno;apellido materno;pago;numero_tarjeta;costo;cantidad;precio
05/05/2021 09:57;Sambar Masala (bb Royal);Foodgrains, Oil & Masala;5839204;Fernando;Reyes;Rojas;mastercard;5048376876298970;5.95;1;7.19
05/05/2021 10:11;Masala Balls Snacks (Cheetos);Snacks & Branded Foods;4763921;Juan;Pérez;Sosa;americanexpress;374288062180277;16.33;1;17.99
05/05/2021 14:01;Ash Gourd - Cut (Fresho);Fruits & Vegetables;4763921;Juan;Pérez;Sosa;visa;4041594051333720;10.86;1;11.59
05/05/2021 14:31;Arai Keerai (Fresho);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;visa;4041599842820;12.02;2;13.49
05/05/2021 15:00;Star Anise Doodh Shot (Amul);Bakery, Cakes & Dairy;4649382;Sofía;Delgado;Muños;mastercard;5108752673600880;16.47;1;18.09
05/05/2021 19:15;Tasty Twist Mumbai Chowpatty Multi-Use Seasoning (Kohinoor);Foodgrains, Oil & Masala;4649382;Sofía;Delgado;Muños;visa;4041598170819;5.37;1;6.29
05/05/2021 19:37;Namkeen - Khara Boondi (Townbus);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;visa;4041596038533640;19.42;1;21.29
05/05/2021 19:58;Bread - Fruit (English Oven);Bakery, Cakes & Dairy;4649382;Sofía;Delgado;Muños;mastercard;5108757235239080;1.63;2;1.79
05/05/2021 20:09;Jeera Kadu/Bitter Cumin (bb Royal);Foodgrains, Oil & Masala;5839204;Fernando;Reyes;Rojas;visa;4041596972700190;13.87;1;14.89
06/05/2021 05:08;Colocasia - Organically Grown (Fresho);Fruits & Vegetables;5283745;Luis;Torres;González;mastercard;5048374002788450;18.93;2;20.89
06/05/2021 05:16;Vermicelli (Anil);Cleaning & Household;4763921;Juan;Pérez;Sosa;mastercard;5108756241400330;17.36;1;18.39
06/05/2021 05:58;Pooja Essential (Gomutra);Cleaning & Household;4983721;Ana María;Castillo;Jimenez;americanexpress;374283854417458;10.66;2;11.59
06/05/2021 14:58;Mint - Sugarfree, Fruity Flavour (Center Fresh);Bakery, Cakes & Dairy;5839204;Fernando;Reyes;Rojas;visa;4041599935977140;19.59;1;21.39
06/05/2021 16:16;Baby Potato (Fresho);Fruits & Vegetables;4983721;Ana María;Castillo;Jimenez;visa;4041594587730160;15.66;2;17.49
06/05/2021 16:43;Bay Leaf/Lavangada Ele (bb Royal);Beauty & Hygiene;4983721;Ana María;Castillo;Jimenez;mastercard;5048371164242150;7.53;1;8.29
06/05/2021 18:41;Beans - Cluster, Organically Grown (Fresho);Fruits & Vegetables;4983721;Ana María;Castillo;Jimenez;mastercard;5048377748169420;5.11;1;5.79
07/05/2021 02:32;Cauliflower (Fresho);Beverages;4763921;Juan;Pérez;Sosa;;6334501394605290000;7.35;2;8.19
07/05/2021 02:59;Comb - Derby Deluxe No 02 (Ego of Paris);Beauty & Hygiene;4649382;Sofía;Delgado;Muños;mastercard;5108759436996020;19.75;1;21.39
07/05/2021 04:36;Namkeen - Nav Rattan (Crax);Snacks & Branded Foods;4983721;Ana María;Castillo;Jimenez;visa;4041590202339;1.4;2;1.69
07/05/2021 09:44;ChilliÂ - Bajji, Mild (Fresho);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;mastercard;5048373408030110;4.12;3;4.89
07/05/2021 13:51;Marie Biscuits (Parle);Fruits & Vegetables;4792351;Laura;Fernández;López;visa;4041596275107;13.54;2;14.79
07/05/2021 14:50;Instant Noodle - Chicken Flavour (Indomie);Gourmet & World Food;5892340;AndrÃ©s;García;Cruz;mastercard;5108754745678790;4.18;1;4.89
07/05/2021 21:36;Classic Milk Chocolate Candy (Nestle );Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;mastercard;5108751127851570;19.24;6;21.19
07/05/2021 22:59;Cucumber - English (Fresho);Fruits & Vegetables;4983721;Ana María;Castillo;Jimenez;americanexpress;374283543850705;0.15;1;1.19
08/05/2021 00:23;Shots (Cadbury Dairy Milk);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;americanexpress;374288165189936;9.91;7;11.29
08/05/2021 01:20;Tapioca - Organically Grown (Fresho);Snacks & Branded Foods;4983721;Ana María;Castillo;Jimenez;mastercard;5108750131849990;4.83;3;5.19
08/05/2021 01:48;Kitchen Scrubber - Stainless Steel (Liao);Foodgrains, Oil & Masala;4983721;Ana María;Castillo;Jimenez;americanexpress;374283964832018;10.67;4;11.59
08/05/2021 03:04;Tru Orange (Amul);Bakery, Cakes & Dairy;5038271;Paula;Rojas;Estrada;americanexpress;374288240835982;8.13;4;8.89
08/05/2021 11:56;Dream Cream - Strawberry Vanilla (Sunfeast);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;mastercard;5048379772765290;2.41;2;3.29
08/05/2021 13:06;Hair Gel Regular Hold (Vi-john);Beauty & Hygiene;4763921;Juan;Pérez;Sosa;americanexpress;374283513164061;0.23;3;1.29
08/05/2021 13:43;Binder Clip - 19mm (Ravi Agencies);Snacks & Branded Foods;5283745;Luis;Torres;González;visa;4041593023791700;8.21;4;8.99
08/05/2021 14:01;Glucose - Liquid (Ask Foods);Snacks & Branded Foods;5728391;Rodrigo;López;Chávez;americanexpress;374288359993838;2.8;5;3.89
08/05/2021 14:58;Organic Seeds - Black Mustard/Sasive (Organic Tattva);Snacks & Branded Foods;4983721;Ana María;Castillo;Jimenez;visa;4041593367493;2.87;1;3.99
08/05/2021 16:42;Tasty Twist Zingy Schezwan Multi-Use Seasoning (Kohinoor);Foodgrains, Oil & Masala;4649382;Sofía;Delgado;Muños;mastercard;5108750415993080;12.21;2;13.79
08/05/2021 17:09;Sweet Potato (Fresho);Beauty & Hygiene;4983721;Ana María;Castillo;Jimenez;mastercard;5048379720157370;17.17;1;18.19
08/05/2021 17:35;Fritts - Cream & Onion (Crax);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;americanexpress;374288132485151;13.65;2;14.89
08/05/2021 21:40;Grapes - Bangalore Blue with Seed (Fresho);Cleaning & Household;4983721;Ana María;Castillo;Jimenez;mastercard;5108754483790330;10.9;1;11.59
08/05/2021 22:40;Tomato - Hybrid, Organically Grown (Fresho);Cleaning & Household;4649382;Sofía;Delgado;Muños;visa;4041598082914470;11.76;3;13.09
08/05/2021 23:32;Masala Oats - Curry & Pepper (Saffola);Snacks & Branded Foods;4763921;Juan;Pérez;Sosa;americanexpress;374288707197975;11.93;1;13.39
09/05/2021 01:25;Dark Fantasy - Choco Fills Biscuits - Cookies (Sunfeast);Bakery, Cakes & Dairy;5839204;Fernando;Reyes;Rojas;americanexpress;374283963067350;8.06;2;8.69
09/05/2021 01:54;Fruit Bread (Britannia);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;visa;4041592983986480;5.79;2;6.99
09/05/2021 03:19;Baby Potato (Fresho);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;visa;4041599964251;15.66;3;17.49
09/05/2021 06:30;Lassi (Paper Boat);Bakery, Cakes & Dairy;4649382;Sofía;Delgado;Muños;visa;4041593477620470;5.55;4;6.59
09/05/2021 06:58;Gems - Sugar Coated Chocolate (Cadbury);Bakery, Cakes & Dairy;4649382;Sofía;Delgado;Muños;mastercard;5048371366204100;15.64;2;17.49
09/05/2021 10:13;Daily Fresh - Dahi (Britannia);Bakery, Cakes & Dairy;4958723;Gabriela;Morales;Paredes;americanexpress;374283780229209;3.39;5;4.59
09/05/2021 11:56;Bread - Fruit (English Oven);Bakery, Cakes & Dairy;4763921;Juan;Pérez;Sosa;americanexpress;374288168586070;1.63;1;1.79
09/05/2021 15:47;Agarbathi Natural Incense Sticks - Lavender (Gou Ganga);Cleaning & Household;4649382;Sofía;Delgado;Muños;americanexpress;374288491063268;3.2;2;4.39
09/05/2021 17:07;Potato Chips - Spanish Tomato Tango (Lays);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;americanexpress;374283593685175;3.2;2;4.39
09/05/2021 18:01;Hand Sanitizer (Godrej Protekt);Beauty & Hygiene;5892340;AndrÃ©s;García;Cruz;mastercard;5048375321591950;4.72;3;4.99
09/05/2021 18:28;Super Shine Soft Bristle Toothbrush (Colgate);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;visa;4041599716520580;7.06;1;8.19
09/05/2021 23:49;White Xylitol Sugarfree Spearmint Flavour Chewing Gum - Fliptop (Happydent );Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;americanexpress;374288567196331;13.48;5;14.79
10/05/2021 01:14;Chewing Gum Stick - Fruits Flavour (Center Fruit);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;mastercard;5108756748746460;12.05;1;13.59
10/05/2021 03:11;Turmeric Powder/Arisina Pudi (Eastern);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;mastercard;5108758275045120;3.34;1;4.49
10/05/2021 03:32;Neem Giloy (Amruta Balli) - Organically Grown (Fresho);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;mastercard;5108757043026310;7.79;4;8.29
10/05/2021 06:25;Winkin Cow ClassicÂ Lassi (Britannia);Bakery, Cakes & Dairy;4958723;Gabriela;Morales;Paredes;mastercard;5108751003991960;2.95;5;4.09
10/05/2021 07:50;Namkeen - Nav Rattan (Crax);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;visa;4041599799749;1.4;3;1.69
10/05/2021 08:28;Organic Spouts Horse Gram (Fresho);Beverages;5839204;Fernando;Reyes;Rojas;visa;4041590972519;15.1;3;16.69
10/05/2021 15:11;New Born - 2 Diaper Pants (Pampers );Bakery, Cakes & Dairy;5038271;Paula;Rojas;Estrada;mastercard;5048370011791670;13.46;1;14.79
10/05/2021 15:59;Banana - Raw Green (Fresho);Fruits & Vegetables;4649382;Sofía;Delgado;Muños;visa;4041597721372;19.85;2;21.39
10/05/2021 19:28;Jeera Kadu/Bitter Cumin (bb Royal);Foodgrains, Oil & Masala;4983721;Ana María;Castillo;Jimenez;mastercard;5108751065239700;13.87;1;14.89
10/05/2021 23:56;Puja Wicks - Pulla Vathulu long Batti (Jaji);Cleaning & Household;5839204;Fernando;Reyes;Rojas;americanexpress;374283920722238;16.63;3;18.09
11/05/2021 00:48;Cabbage - Organically Grown (Fresho);Fruits & Vegetables;5038271;Paula;Rojas;Estrada;americanexpress;374283230369324;2.75;1;3.89
11/05/2021 03:15;Ready Masala - Hyderabadi Biryani (Kohinoor);Fruits & Vegetables;4763921;Juan;Pérez;Sosa;americanexpress;374283225936665;14.13;1;14.89
11/05/2021 04:09;Sterilised Double Toned Flavored Milk - Strawberry (THIRUMALA);Snacks & Branded Foods;5283745;Luis;Torres;González;mastercard;5108757114786530;19.48;1;21.29
11/05/2021 04:15;Synthetic Food Colour Preparation Orange Red (999);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;visa;4041596926533700;12.16;1;13.69
11/05/2021 04:35;Tomato - Local, Organically Grown (Fresho);Fruits & Vegetables;4649382;Sofía;Delgado;Muños;visa;4041596591619800;14.13;2;14.89
11/05/2021 06:56;Sweet Potato - Organically Grown (Fresho);Fruits & Vegetables;5892340;AndrÃ©s;García;Cruz;mastercard;5108750142064690;6.12;3;7.49
11/05/2021 07:20;3 Layer Gum - Sugarfreee Peppermint Flavour (Center Fresh);Snacks & Branded Foods;4958723;Gabriela;Morales;Paredes;mastercard;5048377950961150;16.23;1;17.99
11/05/2021 15:06;Yum Yum - Vanilla Cake (Milk Ma);Snacks & Branded Foods;5038271;Paula;Rojas;Estrada;mastercard;5048377512335490;15.83;3;17.69
11/05/2021 15:41;Kitkat 2 Fingers (Nestle );Bakery, Cakes & Dairy;4649382;Sofía;Delgado;Muños;americanexpress;374283664476645;13.24;2;14.69
11/05/2021 17:38;3 Layer Gum - Sugarfreee Peppermint Flavour (Center Fresh);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;mastercard;5048372178297590;16.23;3;17.99
11/05/2021 18:34;Snacks - Stars, Banana & Honey, 2+ Years, 100% Natural & Healthy (Timios);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;americanexpress;374288984376292;4.37;1;4.99
11/05/2021 19:51;Marie Light Biscuit - Vita Orange (Sunfeast);Beauty & Hygiene;4649382;Sofía;Delgado;Muños;mastercard;5048370342014710;16.65;1;18.09
12/05/2021 01:01; ();Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;mastercard;5108754264951670;10.22;2;11.49
12/05/2021 03:15;Gold Glow Face Wash For Radiant Skin With Gold, Chandan, Turmeric (Olivia);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;mastercard;5048373304757970;3.27;3;4.49
12/05/2021 03:19;Masala Biscuit (Chai Point);Bakery, Cakes & Dairy;4649382;Sofía;Delgado;Muños;mastercard;5048378490862110;14.12;1;14.89
12/05/2021 04:20;Marie Light Biscuit - Vita Orange (Sunfeast);Beauty & Hygiene;4763921;Juan;Pérez;Sosa;visa;4041592754261;16.65;1;18.09
12/05/2021 05:16;Honey Doodh Shot (Amul);Bakery, Cakes & Dairy;5892340;AndrÃ©s;García;Cruz;;3553657910290020;7.98;1;8.59
12/05/2021 09:56;Sambar Masala (bb Royal);Foodgrains, Oil & Masala;5839204;Fernando;Reyes;Rojas;americanexpress;374283634553945;5.95;1;7.19
12/05/2021 10:12;Ready Masala - Hyderabadi Biryani (Kohinoor);Fruits & Vegetables;4983721;Ana María;Castillo;Jimenez;visa;4041597573081900;14.13;1;14.89
12/05/2021 11:24;Pineapple - Chunks, Single Serve (Fresho);Fruits & Vegetables;5892340;AndrÃ©s;García;Cruz;americanexpress;374283552274334;14.04;1;14.89
12/05/2021 11:36;Lettuce - Romaine (Fresho);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;visa;4041597002081130;19.56;1;21.29
12/05/2021 15:11;Lychee Ras, Litchi Juice (Paper Boat);Beverages;5283745;Luis;Torres;González;americanexpress;374288002362589;8.46;3;9.49
12/05/2021 18:32;Potato Chips - Simple Classic Salted (Lays);Foodgrains, Oil & Masala;4958723;Gabriela;Morales;Paredes;mastercard;5108757985493660;6.62;1;7.89
12/05/2021 19:00;Tulsi Doodh Shot (Amul);Bakery, Cakes & Dairy;4958723;Gabriela;Morales;Paredes;mastercard;5108752028002440;19.14;1;21.09
12/05/2021 21:50;Super Shine Medium Bristle Toothbrush (Colgate);Beauty & Hygiene;4763921;Juan;Pérez;Sosa;mastercard;5048377558214740;15.55;3;17.39
12/05/2021 23:43;Ginger - Organically Grown (Fresho);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;visa;4041598701409680;5.52;1;6.59
13/05/2021 01:00;Namkeen - Cornflakes Masala (Sln  );Cleaning & Household;4983721;Ana María;Castillo;Jimenez;visa;4041591377387;0.1;3;1.19
13/05/2021 03:26;Black Salt/Kala Namak - Whole (bb Royal);Foodgrains, Oil & Masala;5892340;AndrÃ©s;García;Cruz;americanexpress;374283299852251;0.78;2;1.59
13/05/2021 07:08;Masala - Chilly Gobi (Annapoorna);Foodgrains, Oil & Masala;4958723;Gabriela;Morales;Paredes;americanexpress;374283427528658;3.97;3;4.89
13/05/2021 07:17;Pineapple - Chunks, Single Serve (Fresho);Fruits & Vegetables;4958723;Gabriela;Morales;Paredes;mastercard;5108754133243630;14.04;3;14.89
13/05/2021 15:07;Powder - Chilli (Aashirvaad);Foodgrains, Oil & Masala;4958723;Gabriela;Morales;Paredes;visa;4041591729167270;1.6;4;1.79
13/05/2021 18:01;Ready Masala - Kashmiri Meat (Kohinoor);Foodgrains, Oil & Masala;4649382;Sofía;Delgado;Muños;americanexpress;374283942751819;17.67;2;18.99
13/05/2021 18:45;Irish Drink Shot (Amul);Bakery, Cakes & Dairy;4958723;Gabriela;Morales;Paredes;mastercard;5048371336719510;12.95;1;14.59
14/05/2021 02:52;Pooja Agarbatti - Treya 3 in 1 (Mangaldeep);Fruits & Vegetables;5839204;Fernando;Reyes;Rojas;visa;4041597595442920;11.71;1;12.99
14/05/2021 12:09;Instant Creamy Cup-a-Soup - Spinach (Keya);Foodgrains, Oil & Masala;4649382;Sofía;Delgado;Muños;mastercard;5048370123934020;17.82;1;19.29
14/05/2021 17:24;Ready Masala - Dilli Choley (Kohinoor);Foodgrains, Oil & Masala;4649382;Sofía;Delgado;Muños;americanexpress;374288906868806;12.38;1;13.99
14/05/2021 17:42;Rose White Flavouring Agent (Bush);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;mastercard;5108755026729270;16.73;2;18.09
14/05/2021 18:30;Corn Flour (Puramate);Snacks & Branded Foods;5892340;AndrÃ©s;García;Cruz;mastercard;5108753300774140;11.93;4;13.39
14/05/2021 18:57;Paste - Ginger Garlic (Eastern);Cleaning & Household;5839204;Fernando;Reyes;Rojas;visa;4041591291299;10.3;1;11.49
14/05/2021 19:50;Strawberry Muffils (Britannia);Bakery, Cakes & Dairy;4958723;Gabriela;Morales;Paredes;mastercard;5108753483795060;1.77;2;2.09
14/05/2021 22:03;Black Mustard/Sasive/Rai - Big (bb Popular);Fruits & Vegetables;4983721;Ana María;Castillo;Jimenez;mastercard;5108757745263720;15.78;1;17.59
14/05/2021 22:57;Happy Happy Choco-Chip Cookies (Parle);Snacks & Branded Foods;5892340;AndrÃ©s;García;Cruz;visa;4041597122511660;18.11;2;19.79
15/05/2021 01:03;Instant Creamy - Mushroom Soup (Keya);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;americanexpress;374283437595721;8.74;3;9.99
15/05/2021 01:31;Comb - Derby Deluxe No 02 (Ego of Paris);Beauty & Hygiene;4958723;Gabriela;Morales;Paredes;americanexpress;374288367344545;19.75;5;21.39
15/05/2021 04:17;Puja Wicks - Pulla Vathulu long Batti (Jaji);Cleaning & Household;5839204;Fernando;Reyes;Rojas;;3580112966082420;16.63;1;18.09
15/05/2021 11:50;1-2-3 Noodles - Veg Masala Flavour (Wai Wai);Snacks & Branded Foods;4958723;Gabriela;Morales;Paredes;visa;4041590505962;16.68;1;18.09
15/05/2021 12:00;Pineapple - Chunks, Single Serve (Fresho);Fruits & Vegetables;4649382;Sofía;Delgado;Muños;americanexpress;374288179872592;14.04;1;14.89
15/05/2021 14:28;Agarbathi - Velvet (Soft Touch);Cleaning & Household;4983721;Ana María;Castillo;Jimenez;visa;4041597104421;3.83;1;4.79
15/05/2021 14:41;Dog Food - Chicken & Egg, Adult (Drools);Kitchen, Garden & Pets;5283745;Luis;Torres;González;mastercard;5108758012745350;9.52;3;10.99
15/05/2021 18:09;Soft  Drink (Thums Up);Beverages;5492830;Valentina;Medina;Salinas;americanexpress;374288786300110;7.44;1;8.29
15/05/2021 18:28;Namkeen - Masala Munch (Kurkure);Snacks & Branded Foods;4958723;Gabriela;Morales;Paredes;visa;4041597987969710;20;2;21.49
15/05/2021 21:16;Tasty Twist Special Navratan Multi-Use Seasoning (Kohinoor);Foodgrains, Oil & Masala;5283745;Luis;Torres;González;mastercard;5048370226314670;6.83;1;8.09
15/05/2021 22:08;Dog Food - Chicken & Egg, Adult (Drools);Kitchen, Garden & Pets;4649382;Sofía;Delgado;Muños;mastercard;5108759193067500;9.52;1;10.99
15/05/2021 22:12;Namkeen - Bikaneri Bhujia (Crax);Snacks & Branded Foods;4983721;Ana María;Castillo;Jimenez;americanexpress;374283432883510;1.77;1;2.09
15/05/2021 23:44;Butter Milk - Uht, Spicy (Godrej Jersey);Fruits & Vegetables;4649382;Sofía;Delgado;Muños;mastercard;5048373789263250;3.45;4;4.59
16/05/2021 00:40;Ash Gourd - Cut (Fresho);Cleaning & Household;4763921;Juan;Pérez;Sosa;americanexpress;374288708285894;3.18;3;4.39
16/05/2021 04:48;Fruit Yoghurt - Blueberry (Milky Mist);Bakery, Cakes & Dairy;4649382;Sofía;Delgado;Muños;visa;4041591390959380;3.81;3;4.79
16/05/2021 06:27;Haldi Chandan Soap (Jiva Ayurveda);Foodgrains, Oil & Masala;5283745;Luis;Torres;González;visa;4041590529418;6.57;1;7.89
16/05/2021 09:28;Synthetic Food Colour Preparation Kesar Yellow (999);Cleaning & Household;4649382;Sofía;Delgado;Muños;mastercard;5048370550999420;9.83;3;11.29
16/05/2021 11:12;Ultra-Fresh Fairness Face Wash With Milk, Licorice, Saffron (Olivia);Beauty & Hygiene;5839204;Fernando;Reyes;Rojas;mastercard;5108754366998160;0.81;1;1.59
16/05/2021 16:37;Corn Flakes (Kelloggs);Bakery, Cakes & Dairy;4792351;Laura;Fernández;López;americanexpress;374288879125242;18.35;1;20.19
16/05/2021 18:32;Skin Lightening Oxygen Bleach - Rich Fairness (Olivia);Beauty & Hygiene;4763921;Juan;Pérez;Sosa;visa;4041595972249930;5.75;1;6.89
16/05/2021 20:50;Wafers - Waffy (Pineapple Flavor) (Dukes);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;americanexpress;374283251743746;11;1;11.59
16/05/2021 20:58;Colocasia - Organically Grown (Fresho);Fruits & Vegetables;5892340;AndrÃ©s;García;Cruz;americanexpress;374283735062168;18.93;3;20.89
16/05/2021 22:24;Fusian Hong Kong Spicy Garlic Noodles (MAGGI );Cleaning & Household;4649382;Sofía;Delgado;Muños;;3584477636769100;11.66;6;12.89
16/05/2021 23:13;Grapes - Bangalore Blue with Seed (Fresho);Cleaning & Household;4649382;Sofía;Delgado;Muños;mastercard;5108754691716620;10.9;1;11.59
17/05/2021 00:36;Brinjal - Bottle Shape (Fresho);Kitchen, Garden & Pets;4649382;Sofía;Delgado;Muños;americanexpress;374288490498556;17.42;1;18.49
17/05/2021 02:22;Apple Juice Based Drink (Appy Fizz);Beverages;5839204;Fernando;Reyes;Rojas;mastercard;5048373690845000;18.02;2;19.69
17/05/2021 02:30;Anti Bacto Scrub (Exo);Cleaning & Household;5839204;Fernando;Reyes;Rojas;visa;4041598330504;13.5;2;14.79
17/05/2021 03:09;Green Chilly - Chopped (Fresho);Cleaning & Household;4763921;Juan;Pérez;Sosa;visa;4041590695901270;19.79;1;21.39
17/05/2021 03:32;Sugarcane (Fresho);Fruits & Vegetables;4958723;Gabriela;Morales;Paredes;visa;4041598230811;11.74;1;13.09
17/05/2021 05:01;Coccinia - Sliced (Fresho);Fruits & Vegetables;4958723;Gabriela;Morales;Paredes;mastercard;5108757250320030;1.16;1;1.69
17/05/2021 05:53;Permanent Marker Pen - Blue (Camlin);Snacks & Branded Foods;4763921;Juan;Pérez;Sosa;mastercard;5048375426189850;2.81;4;3.99
17/05/2021 06:21;Strawberry Drink (Ala Fresh);Cleaning & Household;5892340;AndrÃ©s;García;Cruz;americanexpress;374283587670001;10.26;2;11.49
17/05/2021 08:14;Namkeen - Butter Murukku (Townbus);Snacks & Branded Foods;4958723;Gabriela;Morales;Paredes;visa;4041596348193;18.16;1;19.89
17/05/2021 09:11;Snacks - Rings, Tomato & Cheese, 2+ Years, 100% Natural & Healthy (Timios);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;mastercard;5048374469877020;16.85;1;18.19
17/05/2021 09:40;Flax Seeds (The Nibble Box);Snacks & Branded Foods;5038271;Paula;Rojas;Estrada;americanexpress;374283938821378;5.35;1;6.29
17/05/2021 10:38;Wafers - Waffy (Pineapple Flavor) (Dukes);Snacks & Branded Foods;4958723;Gabriela;Morales;Paredes;visa;4041592604409;11;1;11.59
17/05/2021 16:45;Beetroot - Organically Grown (Fresho);Fruits & Vegetables;4983721;Ana María;Castillo;Jimenez;visa;4041593530181;8.08;1;8.79
17/05/2021 18:02;Candy - Kusari (Balaji foods);Gourmet & World Food;5283745;Luis;Torres;González;visa;4041591311236310;13.67;1;14.89
17/05/2021 20:57;Masala Oats - Peppy Tomato (Saffola);Snacks & Branded Foods;4649382;Sofía;Delgado;Muños;visa;4041593642028;6.76;1;7.99
18/05/2021 01:00;Coccinia - Sliced (Fresho);Fruits & Vegetables;4983721;Ana María;Castillo;Jimenez;mastercard;5108750916517090;17.79;5;19.19
18/05/2021 01:40;Pure Magic Deuce Vanilla Biscuits (Britannia);Beauty & Hygiene;4649382;Sofía;Delgado;Muños;americanexpress;374288697097185;14.79;1;16.19
18/05/2021 03:34;Cucumber (Fresho);Fruits & Vegetables;4792351;Laura;Fernández;López;mastercard;5048370867534620;4.17;1;4.89
18/05/2021 04:27;Masala Oats - Curry & Pepper (Saffola);Snacks & Branded Foods;5839204;Fernando;Reyes;Rojas;visa;4041591635461;3.51;1;4.69
18/05/2021 04:40;Munch Crisp-Pop Chocolate Coated Crunchy Wafer (Nestle );Gourmet & World Food;4983721;Ana María;Castillo;Jimenez;mastercard;5108750865399260;4.71;2;4.99
